"d","sed","v","fsed","fv"
0.91339466,0.187317162,0.035087719,0.188902046456851,0.0356839831555864
0.456994617,0.187317162,0.035087719,0.188902046456851,0.0356839831555864
0.479096017,0.206284249,0.042553191,0.207406669160683,0.0430175264123291
0.455225389,0.277555467,0.077037037,0.273643029253198,0.0748805074588663
0.280647525,0.206284249,0.042553191,0.207406669160683,0.0430175264123291
0.214303318,0.129506486,0.01677193,0.130291844117303,0.0169759646434877
0.206749152,0.129506486,0.01677193,0.130291844117303,0.0169759646434877
0.165664179,0.206284249,0.042553191,0.207406669160683,0.0430175264123291
0.054084823,0.104726619,0.010967665,0.10398486043205,0.010812851199073
0.035891989,0.073572612,0.005412929,0.0633303597819292,0.00401073447010859
-0.032269261,0.135293575,0.018304351,0.135962681421526,0.0184858507393314
-0.047188124,0.075860256,0.005754778,0.0680343473952866,0.00462867242550254
-0.074510726,0.206284249,0.042553191,0.207406669160683,0.0430175264123291
-0.1400957,0.129640745,0.016806723,0.130574001861871,0.0170495699622238
-0.172420243,0.197075144,0.038838612,0.198455019817187,0.0393843948906401
-0.330699241,0.193762379,0.03754386,0.194821545540502,0.0379554346067899
