d,sed,v,fsed,fv
.47,.30000001,.088408031,.36247787,.1313902
.64999998,.23999999,.060024071,.29506913,.087065794
.67000002,.30000001,.091610305,.35606182,.12678002
.19,.20999999,.04250798,.26748666,.071549118
.47,.36000001,.12684178,.42504299,.18066153
.02,.34,.11227078,.42504299,.18066153
.039999999,.37,.14016494,.4679569,.21898367
.81999999,.30000001,.092240907,.34704614,.12044102
.60000002,.28,.081123784,.34140271,.11655582
1.2,.38999999,.15491225,.40073436,.16058803
.61000001,.23,.05089011,.27875414,.077703878
.82999998,.34999999,.12592676,.40073436,.16058803
1.0700001,.46000001,.21002521,.4679569,.21898367
.97000003,.47,.22431982,.49079734,.24088204
1.36,.52999997,.27722991,.49079734,.24088204
.57999998,.28999999,.083496548,.34704614,.12044102
1.5599999,.37,.13448364,.34704614,.12044102
.99000001,.40000001,.15976486,.42504299,.18066153
1.36,.69,.47448218,.60110152,.36132306
1.22,.66000003,.43758634,.60110152,.36132306
1.9,.81,.64988905,.60110152,.36132306
.44,.54000002,.29315266,.60110152,.36132306
1.1900001,.41999999,.17727932,.42504299,.18066153
.57999998,.27000001,.07270021,.32599306,.10627148
.63999999,.30000001,.088761702,.35297897,.12459415
1.59,.56,.31568098,.49079734,.24088204
1.0599999,.31999999,.10337449,.34704614,.12044102
.80000001,.41999999,.17679876,.46102384,.21254297
.63,.30000001,.090144001,.35606182,.12678002
.69999999,.27000001,.072641142,.31903157,.10178114
.79000002,.44,.18938279,.47521248,.2258269
1.34,.51999998,.27414322,.49079734,.24088204
1.01,.47999999,.22904815,.49079734,.24088204
.98000002,.52999997,.28404897,.53764153,.28905842
.99000001,.51999998,.2716065,.52720094,.27794081
.83999997,.38999999,.14842978,.42504299,.18066153
.93000001,.38999999,.15504742,.42504299,.18066153
.73000002,.28999999,.081721574,.33602598,.11291345
.95999998,.43000001,.18465927,.45439005,.20647031
1.27,.31,.096644752,.32130229,.10323516
1.38,.44,.19650601,.42504299,.18066153
1.4,.75,.56404883,.63361663,.40147007
.76999998,.47,.22114021,.5080235,.2580879
.75999999,.40000001,.16200842,.44803464,.20073503
1.0700001,.37,.13427009,.38800937,.15055127
.75999999,.34,.11854135,.39211541,.15375449
1.13,.58999997,.34380457,.56053007,.31419396
1.25,.56999999,.3293961,.53764153,.28905842
1.27,.55000001,.30143046,.51734585,.2676467
.76999998,.33000001,.11091894,.38016999,.14452921
1.11,.40000001,.16035102,.41479945,.1720586
.94999999,.46000001,.21311538,.48281637,.23311163
1.73,.61000001,.37359011,.5080235,.2580879
.89999998,.28999999,.083147503,.32599306,.10627148
.30000001,.31,.097565055,.38800937,.15055127
.13,.31,.098092377,.39635462,.15709698
.34,.31,.096447363,.38402969,.14747879
-.11,.30000001,.092362992,.39211541,.15375449
.20999999,.36000001,.13191283,.44803464,.20073503
.20999999,.36000001,.12782104,.44193864,.19530976
-.11,.28,.081077956,.36925372,.13634832
.64999998,.31,.098622911,.36925372,.13634832
.64999998,.28,.078493938,.33343112,.11117632
.56,.25,.060426023,.30055076,.090330765
